date,datetime,SPOSTMIN,SACTMIN
07/23/2017,2017-07-23 22:30:00,-999,
07/23/2017,2017-07-23 22:38:00,-999,
07/23/2017,2017-07-23 22:45:00,-999,
07/23/2017,2017-07-23 22:52:00,-999,
07/23/2017,2017-07-23 22:59:00,-999,
07/23/2017,2017-07-23 23:03:00,-999,
07/23/2017,2017-07-23 23:10:00,-999,
07/23/2017,2017-07-23 23:17:00,-999,
07/23/2017,2017-07-23 23:24:00,-999,
07/23/2017,2017-07-23 23:30:00,-999,
07/23/2017,2017-07-23 23:38:00,-999,
07/23/2017,2017-07-23 23:45:00,-999,
07/23/2017,2017-07-23 23:52:00,-999,
07/23/2017,2017-07-23 23:59:00,-999,
07/23/2017,2017-07-24 00:03:00,-999,
07/24/2017,2017-07-24 07:52:00,-999,
07/24/2017,2017-07-24 07:59:00,-999,
07/24/2017,2017-07-24 08:03:00,-999,
07/24/2017,2017-07-24 08:10:00,-999,
07/24/2017,2017-07-24 08:17:00,-999,
07/24/2017,2017-07-24 08:24:00,-999,
07/24/2017,2017-07-24 08:30:00,-999,
07/24/2017,2017-07-24 08:38:00,-999,
07/24/2017,2017-07-24 08:45:00,-999,
07/24/2017,2017-07-24 08:52:00,-999,
07/24/2017,2017-07-24 08:59:00,-999,
07/24/2017,2017-07-24 09:03:00,-999,
07/24/2017,2017-07-24 09:10:00,-999,
07/24/2017,2017-07-24 09:17:00,-999,
07/24/2017,2017-07-24 09:24:00,-999,
07/24/2017,2017-07-24 09:30:00,-999,
07/24/2017,2017-07-24 09:38:00,-999,
07/24/2017,2017-07-24 09:45:00,-999,
07/24/2017,2017-07-24 09:52:00,-999,
07/24/2017,2017-07-24 09:59:00,-999,
07/24/2017,2017-07-24 10:03:00,-999,
07/24/2017,2017-07-24 21:10:00,-999,
07/24/2017,2017-07-24 21:17:00,-999,
07/24/2017,2017-07-24 21:24:00,-999,
07/24/2017,2017-07-24 21:30:00,-999,
07/24/2017,2017-07-24 21:38:00,-999,
07/24/2017,2017-07-24 21:45:00,-999,
07/24/2017,2017-07-24 21:52:00,-999,
07/24/2017,2017-07-24 21:59:00,-999,
07/24/2017,2017-07-24 22:03:00,-999,
07/24/2017,2017-07-24 22:10:00,-999,
07/24/2017,2017-07-24 22:17:00,-999,
07/24/2017,2017-07-24 22:25:00,-999,
07/24/2017,2017-07-24 22:31:00,-999,
07/24/2017,2017-07-24 22:38:00,-999,
07/24/2017,2017-07-24 22:45:00,-999,
07/24/2017,2017-07-24 22:52:00,-999,
07/24/2017,2017-07-24 22:59:00,-999,
07/24/2017,2017-07-24 23:03:00,-999,
07/24/2017,2017-07-24 23:10:00,-999,
07/24/2017,2017-07-24 23:17:00,-999,
07/24/2017,2017-07-24 23:24:00,-999,
07/24/2017,2017-07-24 23:30:00,-999,
07/24/2017,2017-07-24 23:38:00,-999,
07/24/2017,2017-07-24 23:45:00,-999,
07/24/2017,2017-07-24 23:52:00,-999,
07/24/2017,2017-07-24 23:59:00,-999,
07/24/2017,2017-07-25 00:03:00,-999,
07/25/2017,2017-07-25 08:52:00,-999,
07/25/2017,2017-07-25 08:59:00,-999,
07/25/2017,2017-07-25 09:03:00,-999,
07/25/2017,2017-07-25 09:10:00,-999,
07/25/2017,2017-07-25 09:17:00,-999,
07/25/2017,2017-07-25 09:24:00,-999,
07/25/2017,2017-07-25 09:30:00,-999,
07/25/2017,2017-07-25 09:38:00,-999,
07/25/2017,2017-07-25 09:45:00,-999,
07/25/2017,2017-07-25 09:52:00,-999,
07/25/2017,2017-07-25 09:59:00,-999,
